short_name,height_cm,,,,,,,,,,,,,,,,,,,,,,,
G. Higuaín,186,,,,,,,,,,,,,,,,,,,,,,,
B. Matuidi,180,,,,,,,,,,,,,,,,,,,,,,,
G. Bale,185,,,,,,,,,,,,,,,,,,,,,,,
Marcelo,174,,,,,,,,,,,,,,,,,,,,,,,
A. Witsel,186,,,,,,,,,,,,,,,,,,,,,,,
Alex Sandro,180,,,,,,,,,,,,,,,,,,,,,,,
Iago Aspas,176,,,,,,,,,,,,,,,,,,,,,,,
Koke,176,,,,,,,,,,,,,,,,,,,,,,,
J. Rodríguez,180,,,,,,,,,,,,,,,,,,,,,,,
Allan,175,,,,,,,,,,,,,,,,,,,,,,,
J. Sancho,180,,,,,,,,,,,,,,,,,,,,,,,
K. Havertz,188,,,,,,,,,,,,,,,,,,,,,,,
O. Dembélé,178,,,,,,,,,,,,,,,,,,,,,,,
Kepa,186,,,,,,,,,,,,,,,,,,,,,,,
João Cancelo,182,,,,,,,,,,,,,,,,,,,,,,,
D. Alli,188,,,,,,,,,,,,,,,,,,,,,,,
L. Hernández,182,,,,,,,,,,,,,,,,,,,,,,,
Arthur,171,,,,,,,,,,,,,,,,,,,,,,,
M. Depay,176,,,,,,,,,,,,,,,,,,,,,,,
L. Goretzka,189,,,,,,,,,,,,,,,,,,,,,,,
J. Brandt,185,,,,,,,,,,,,,,,,,,,,,,,
K. Coman,179,,,,,,,,,,,,,,,,,,,,,,,
S. Gnabry,175,,,,,,,,,,,,,,,,,,,,,,,
N. Fekir,173,,,,,,,,,,,,,,,,,,,,,,,
B. Leno,190,,,,,,,,,,,,,,,,,,,,,,,
Luis Alberto,183,,,,,,,,,,,,,,,,,,,,,,,
Alex Telles,181,,,,,,,,,,,,,,,,,,,,,,,
J. Pavlenka,196,,,,,,,,,,,,,,,,,,,,,,,
S. de Vrij,189,,,,,,,,,,,,,,,,,,,,,,,
Felipe Anderson,175,,,,,,,,,,,,,,,,,,,,,,,
Pepe,188,,,,,,,,,,,,,,,,,,,,,,,
João Moutinho,170,,,,,,,,,,,,,,,,,,,,,,,
S. Ruffier,188,,,,,,,,,,,,,,,,,,,,,,,
S. Sirigu,192,,,,,,,,,,,,,,,,,,,,,,,
M. Hamšík,183,,,,,,,,,,,,,,,,,,,,,,,
Sokratis,186,,,,,,,,,,,,,,,,,,,,,,,
Lucas Leiva,179,,,,,,,,,,,,,,,,,,,,,,,
M. Özil,180,,,,,,,,,,,,,,,,,,,,,,,
Javi Martínez,192,,,,,,,,,,,,,,,,,,,,,,,
Y. Sommer,183,,,,,,,,,,,,,,,,,,,,,,,
E. Džeko,193,,,,,,,,,,,,,,,,,,,,,,,
G. Wijnaldum,175,,,,,,,,,,,,,,,,,,,,,,,
I. Perišić,186,,,,,,,,,,,,,,,,,,,,,,,
M. Mandžukić,190,,,,,,,,,,,,,,,,,,,,,,,
A. Vidal,180,,,,,,,,,,,,,,,,,,,,,,,
J. Boateng,192,,,,,,,,,,,,,,,,,,,,,,,
Azpilicueta,178,,,,,,,,,,,,,,,,,,,,,,,
José Callejón,178,,,,,,,,,,,,,,,,,,,,,,,
I. Gündoğan,180,,,,,,,,,,,,,,,,,,,,,,,
Paulinho,183,,,,,,,,,,,,,,,,,,,,,,,
K. Walker,183,,,,,,,,,,,,,,,,,,,,,,,
Canales,176,,,,,,,,,,,,,,,,,,,,,,,
Douglas Costa,172,,,,,,,,,,,,,,,,,,,,,,,
Pizzi,177,,,,,,,,,,,,,,,,,,,,,,,
D. Tadić,181,,,,,,,,,,,,,,,,,,,,,,,
J. Iličić,190,,,,,,,,,,,,,,,,,,,,,,,
R. Mahrez,179,,,,,,,,,,,,,,,,,,,,,,,
E. Višća,172,,,,,,,,,,,,,,,,,,,,,,,
Felipe,190,,,,,,,,,,,,,,,,,,,,,,,
Fabián,189,,,,,,,,,,,,,,,,,,,,,,,
A. Romagnoli,188,,,,,,,,,,,,,,,,,,,,,,,
G. Lo Celso,177,,,,,,,,,,,,,,,,,,,,,,,
T. Alexander-Arnold,180,,,,,,,,,,,,,,,,,,,,,,,
L. Jović,182,,,,,,,,,,,,,,,,,,,,,,,
A. Milik,186,,,,,,,,,,,,,,,,,,,,,,,
A. Martial,184,,,,,,,,,,,,,,,,,,,,,,,
Anderson Talisca,190,,,,,,,,,,,,,,,,,,,,,,,
J. Tah,195,,,,,,,,,,,,,,,,,,,,,,,
C. Tolisso,181,,,,,,,,,,,,,,,,,,,,,,,
Pau López,189,,,,,,,,,,,,,,,,,,,,,,,
Gonçalo Guedes,179,,,,,,,,,,,,,,,,,,,,,,,
N. Pépé,183,,,,,,,,,,,,,,,,,,,,,,,
M. Akanji,187,,,,,,,,,,,,,,,,,,,,,,,
M. Rashford,186,,,,,,,,,,,,,,,,,,,,,,,
J. Stones,188,,,,,,,,,,,,,,,,,,,,,,,
A. Rabiot,192,,,,,,,,,,,,,,,,,,,,,,,
Grimaldo,171,,,,,,,,,,,,,,,,,,,,,,,
T. Werner,180,,,,,,,,,,,,,,,,,,,,,,,
T. Lemar,171,,,,,,,,,,,,,,,,,,,,,,,
D. Sánchez,187,,,,,,,,,,,,,,,,,,,,,,,
Marco Asensio,182,,,,,,,,,,,,,,,,,,,,,,,
L. Digne,178,,,,,,,,,,,,,,,,,,,,,,,
J. Draxler,187,,,,,,,,,,,,,,,,,,,,,,,
J. Pickford,185,,,,,,,,,,,,,,,,,,,,,,,
Y. Carrasco,180,,,,,,,,,,,,,,,,,,,,,,,
