short_name,height_cm,,,,,,,,,,,,,,,,,,,,,,,
S. Sturaro,181,,,,,,,,,,,,,,,,,,,,,,,
K. Stafylidis,178,,,,,,,,,,,,,,,,,,,,,,,
B. Zuculini,182,,,,,,,,,,,,,,,,,,,,,,,
P. Gazzaniga,196,,,,,,,,,,,,,,,,,,,,,,,
M. Krmenčík,190,,,,,,,,,,,,,,,,,,,,,,,
J. Willems,177,,,,,,,,,,,,,,,,,,,,,,,
S. March,180,,,,,,,,,,,,,,,,,,,,,,,
T. Rogić,189,,,,,,,,,,,,,,,,,,,,,,,
D. Pelkas,177,,,,,,,,,,,,,,,,,,,,,,,
Clinton Mata,180,,,,,,,,,,,,,,,,,,,,,,,
R. Quaison,183,,,,,,,,,,,,,,,,,,,,,,,
A. Touré,188,,,,,,,,,,,,,,,,,,,,,,,
M. Konaté,183,,,,,,,,,,,,,,,,,,,,,,,
K. Möhwald,183,,,,,,,,,,,,,,,,,,,,,,,
J. Haberer,186,,,,,,,,,,,,,,,,,,,,,,,
Kwon Chang Hoon,173,,,,,,,,,,,,,,,,,,,,,,,
N. Stanciu,170,,,,,,,,,,,,,,,,,,,,,,,
Ivan Cavaleiro,175,,,,,,,,,,,,,,,,,,,,,,,
Medrán,176,,,,,,,,,,,,,,,,,,,,,,,
N. Castillo,179,,,,,,,,,,,,,,,,,,,,,,,
A. Tameze,180,,,,,,,,,,,,,,,,,,,,,,,
H. Villalba,172,,,,,,,,,,,,,,,,,,,,,,,
L. Menossi,169,,,,,,,,,,,,,,,,,,,,,,,
Jason,178,,,,,,,,,,,,,,,,,,,,,,,
Álex Moreno,179,,,,,,,,,,,,,,,,,,,,,,,
L. Lerager,188,,,,,,,,,,,,,,,,,,,,,,,
N. Vukčević,184,,,,,,,,,,,,,,,,,,,,,,,
A. Conti,184,,,,,,,,,,,,,,,,,,,,,,,
J. Rodríguez,179,,,,,,,,,,,,,,,,,,,,,,,
Yan Junling,191,,,,,,,,,,,,,,,,,,,,,,,
P. Tau,168,,,,,,,,,,,,,,,,,,,,,,,
V. Janssen,184,,,,,,,,,,,,,,,,,,,,,,,
C. Borja,180,,,,,,,,,,,,,,,,,,,,,,,
João Novais,183,,,,,,,,,,,,,,,,,,,,,,,
C. Fassnacht,185,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo,176,,,,,,,,,,,,,,,,,,,,,,,
V. Barkas,195,,,,,,,,,,,,,,,,,,,,,,,
V. Buyalskyi,170,,,,,,,,,,,,,,,,,,,,,,,
N. Etheridge,191,,,,,,,,,,,,,,,,,,,,,,,
Z. Labyad,175,,,,,,,,,,,,,,,,,,,,,,,
J. Svensson,170,,,,,,,,,,,,,,,,,,,,,,,
C. Biraghi,185,,,,,,,,,,,,,,,,,,,,,,,
K. Djidji,184,,,,,,,,,,,,,,,,,,,,,,,
D. Bessa,178,,,,,,,,,,,,,,,,,,,,,,,
A. Duncan,178,,,,,,,,,,,,,,,,,,,,,,,
J. Brenet,181,,,,,,,,,,,,,,,,,,,,,,,
André Ramalho,182,,,,,,,,,,,,,,,,,,,,,,,
R. Haps,175,,,,,,,,,,,,,,,,,,,,,,,
L. Magallán,185,,,,,,,,,,,,,,,,,,,,,,,
C. Mathenia,189,,,,,,,,,,,,,,,,,,,,,,,
Jemerson,184,,,,,,,,,,,,,,,,,,,,,,,
L. Kalinić,201,,,,,,,,,,,,,,,,,,,,,,,
K. Laifis,186,,,,,,,,,,,,,,,,,,,,,,,
J. Lössl,195,,,,,,,,,,,,,,,,,,,,,,,
C. Clark,185,,,,,,,,,,,,,,,,,,,,,,,
M. Kelly,191,,,,,,,,,,,,,,,,,,,,,,,
S. Dewaest,188,,,,,,,,,,,,,,,,,,,,,,,
T. Kádár,188,,,,,,,,,,,,,,,,,,,,,,,
M. Günok,196,,,,,,,,,,,,,,,,,,,,,,,
O. Elabdellaoui,177,,,,,,,,,,,,,,,,,,,,,,,
V. Berisha,176,,,,,,,,,,,,,,,,,,,,,,,
F. Kainz,176,,,,,,,,,,,,,,,,,,,,,,,
J. Tavernier,182,,,,,,,,,,,,,,,,,,,,,,,
J. Drmić,183,,,,,,,,,,,,,,,,,,,,,,,
R. Falk,177,,,,,,,,,,,,,,,,,,,,,,,
N. Sansone,173,,,,,,,,,,,,,,,,,,,,,,,
S. Armstrong,183,,,,,,,,,,,,,,,,,,,,,,,
Jesé,178,,,,,,,,,,,,,,,,,,,,,,,
P. Dummett,183,,,,,,,,,,,,,,,,,,,,,,,
B. Sarr,177,,,,,,,,,,,,,,,,,,,,,,,
P. Klement,175,,,,,,,,,,,,,,,,,,,,,,,
A. Ring,178,,,,,,,,,,,,,,,,,,,,,,,
S. Lung,189,,,,,,,,,,,,,,,,,,,,,,,
S. Kryvtsov,186,,,,,,,,,,,,,,,,,,,,,,,
P. Mantalos,176,,,,,,,,,,,,,,,,,,,,,,,
S. Mitrović,189,,,,,,,,,,,,,,,,,,,,,,,
S. Larsson,179,,,,,,,,,,,,,,,,,,,,,,,
C. Günter,185,,,,,,,,,,,,,,,,,,,,,,,
Fran Sol,181,,,,,,,,,,,,,,,,,,,,,,,
A. Hegazi,194,,,,,,,,,,,,,,,,,,,,,,,
Carles Gil,170,,,,,,,,,,,,,,,,,,,,,,,
G. Fernández,178,,,,,,,,,,,,,,,,,,,,,,,
J. Mojica,185,,,,,,,,,,,,,,,,,,,,,,,
Y. Sabaly,173,,,,,,,,,,,,,,,,,,,,,,,
A. Jahanbakhsh,180,,,,,,,,,,,,,,,,,,,,,,,
M. Mevlja,190,,,,,,,,,,,,,,,,,,,,,,,
H. Traoré,175,,,,,,,,,,,,,,,,,,,,,,,
Zaldúa,176,,,,,,,,,,,,,,,,,,,,,,,
S. Sydorchuk,189,,,,,,,,,,,,,,,,,,,,,,,
A. Roa,175,,,,,,,,,,,,,,,,,,,,,,,
J. Lolley,178,,,,,,,,,,,,,,,,,,,,,,,
Y. Mutō,178,,,,,,,,,,,,,,,,,,,,,,,
Borja Valle,177,,,,,,,,,,,,,,,,,,,,,,,
K. Onisiwo,188,,,,,,,,,,,,,,,,,,,,,,,
J. Ito,176,,,,,,,,,,,,,,,,,,,,,,,
D. Brašanac,178,,,,,,,,,,,,,,,,,,,,,,,
L. Masopust,179,,,,,,,,,,,,,,,,,,,,,,,
C. Pizarro,184,,,,,,,,,,,,,,,,,,,,,,,
A. McGregor,183,,,,,,,,,,,,,,,,,,,,,,,
A. Boruc,193,,,,,,,,,,,,,,,,,,,,,,,
Jonatan Soriano,180,,,,,,,,,,,,,,,,,,,,,,,
R. Cohade,181,,,,,,,,,,,,,,,,,,,,,,,
J. Hansen,188,,,,,,,,,,,,,,,,,,,,,,,
S. Brown,175,,,,,,,,,,,,,,,,,,,,,,,
S. Francis,187,,,,,,,,,,,,,,,,,,,,,,,
W. Morgan,186,,,,,,,,,,,,,,,,,,,,,,,
L. Rigoni,185,,,,,,,,,,,,,,,,,,,,,,,
W. Caballero,186,,,,,,,,,,,,,,,,,,,,,,,
J. Morel,175,,,,,,,,,,,,,,,,,,,,,,,
Rafael,187,,,,,,,,,,,,,,,,,,,,,,,
M. Barovero,182,,,,,,,,,,,,,,,,,,,,,,,
P. Zabaleta,178,,,,,,,,,,,,,,,,,,,,,,,
M. Barbosa,188,,,,,,,,,,,,,,,,,,,,,,,
G. Gönül,175,,,,,,,,,,,,,,,,,,,,,,,
L. Podolski,182,,,,,,,,,,,,,,,,,,,,,,,
R. Özcan,184,,,,,,,,,,,,,,,,,,,,,,,
R. Sambueza,174,,,,,,,,,,,,,,,,,,,,,,,
M. Wolff Eikrem,184,,,,,,,,,,,,,,,,,,,,,,,
J. Corona,184,,,,,,,,,,,,,,,,,,,,,,,
J. Valdivia,173,,,,,,,,,,,,,,,,,,,,,,,
S. Dann,188,,,,,,,,,,,,,,,,,,,,,,,
Salva Sevilla,178,,,,,,,,,,,,,,,,,,,,,,,
A. Romao,180,,,,,,,,,,,,,,,,,,,,,,,
V. Behrami,185,,,,,,,,,,,,,,,,,,,,,,,
F. Haroun,188,,,,,,,,,,,,,,,,,,,,,,,
L. Baines,170,,,,,,,,,,,,,,,,,,,,,,,
D. Congré,185,,,,,,,,,,,,,,,,,,,,,,,
Sergio,180,,,,,,,,,,,,,,,,,,,,,,,
L. Refaelov,175,,,,,,,,,,,,,,,,,,,,,,,
J. Błaszczykowski,175,,,,,,,,,,,,,,,,,,,,,,,
G. Cabral,184,,,,,,,,,,,,,,,,,,,,,,,
Cássio,185,,,,,,,,,,,,,,,,,,,,,,,
G. Castro,172,,,,,,,,,,,,,,,,,,,,,,,
N. Domingo,174,,,,,,,,,,,,,,,,,,,,,,,
H. Rodallega,181,,,,,,,,,,,,,,,,,,,,,,,
Zeca,182,,,,,,,,,,,,,,,,,,,,,,,
Barragán,183,,,,,,,,,,,,,,,,,,,,,,,
D. Randolph,188,,,,,,,,,,,,,,,,,,,,,,,
W. Hennessey,198,,,,,,,,,,,,,,,,,,,,,,,
L. De Silvestri,186,,,,,,,,,,,,,,,,,,,,,,,
D. Buonanotte,161,,,,,,,,,,,,,,,,,,,,,,,
Mario Suárez,188,,,,,,,,,,,,,,,,,,,,,,,
C. Erkin,181,,,,,,,,,,,,,,,,,,,,,,,
H. Ayala,183,,,,,,,,,,,,,,,,,,,,,,,
M. Fritzler,179,,,,,,,,,,,,,,,,,,,,,,,
A. Begović,199,,,,,,,,,,,,,,,,,,,,,,,
A. Surman,178,,,,,,,,,,,,,,,,,,,,,,,
A. Mariappa,180,,,,,,,,,,,,,,,,,,,,,,,
M. Fernández,178,,,,,,,,,,,,,,,,,,,,,,,
S. Kums,175,,,,,,,,,,,,,,,,,,,,,,,
N. Dirar,187,,,,,,,,,,,,,,,,,,,,,,,
Manuel da Costa,191,,,,,,,,,,,,,,,,,,,,,,,
Kiko Casilla,190,,,,,,,,,,,,,,,,,,,,,,,
M. Harnik,186,,,,,,,,,,,,,,,,,,,,,,,
P. Cissé,183,,,,,,,,,,,,,,,,,,,,,,,
S. Okaka,186,,,,,,,,,,,,,,,,,,,,,,,
O. Kamara,184,,,,,,,,,,,,,,,,,,,,,,,
A. Taarabt,185,,,,,,,,,,,,,,,,,,,,,,,
O. Cardozo,193,,,,,,,,,,,,,,,,,,,,,,,
D. N'Doye,186,,,,,,,,,,,,,,,,,,,,,,,
T. Kraft,187,,,,,,,,,,,,,,,,,,,,,,,
W. Vainqueur,179,,,,,,,,,,,,,,,,,,,,,,,
D. Vukovic,188,,,,,,,,,,,,,,,,,,,,,,,
O. Akhmedov,181,,,,,,,,,,,,,,,,,,,,,,,
A. Epureanu,189,,,,,,,,,,,,,,,,,,,,,,,
A. Ranocchia,195,,,,,,,,,,,,,,,,,,,,,,,
M. Tekdemir,178,,,,,,,,,,,,,,,,,,,,,,,
A. Carroll,193,,,,,,,,,,,,,,,,,,,,,,,
C. Sánchez,182,,,,,,,,,,,,,,,,,,,,,,,
H. Nordtveit,188,,,,,,,,,,,,,,,,,,,,,,,
F. Bartels,176,,,,,,,,,,,,,,,,,,,,,,,
S. Grytebust,185,,,,,,,,,,,,,,,,,,,,,,,
K. Mitroglou,188,,,,,,,,,,,,,,,,,,,,,,,
J. Hogg,176,,,,,,,,,,,,,,,,,,,,,,,
S. Langkamp,191,,,,,,,,,,,,,,,,,,,,,,,
L. Koné,189,,,,,,,,,,,,,,,,,,,,,,,
C. Benteke,190,,,,,,,,,,,,,,,,,,,,,,,
R. Thomas,193,,,,,,,,,,,,,,,,,,,,,,,
Y. Sankharé,184,,,,,,,,,,,,,,,,,,,,,,,
M. Darmian,182,,,,,,,,,,,,,,,,,,,,,,,
R. van Wolfswinkel,185,,,,,,,,,,,,,,,,,,,,,,,
L. Montes,166,,,,,,,,,,,,,,,,,,,,,,,
J. Allen,168,,,,,,,,,,,,,,,,,,,,,,,
D. Gosling,183,,,,,,,,,,,,,,,,,,,,,,,
I. Traoré,184,,,,,,,,,,,,,,,,,,,,,,,
R. Cota,183,,,,,,,,,,,,,,,,,,,,,,,
K. Gibbs,179,,,,,,,,,,,,,,,,,,,,,,,
O. Norwood,175,,,,,,,,,,,,,,,,,,,,,,,
M. Fabián,171,,,,,,,,,,,,,,,,,,,,,,,
M. Ritchie,172,,,,,,,,,,,,,,,,,,,,,,,
B. Espinosa,192,,,,,,,,,,,,,,,,,,,,,,,
A. Paloschi,182,,,,,,,,,,,,,,,,,,,,,,,
J. Hernández,171,,,,,,,,,,,,,,,,,,,,,,,
V. Vasin,192,,,,,,,,,,,,,,,,,,,,,,,
M. Isla,176,,,,,,,,,,,,,,,,,,,,,,,
M. Phillips,183,,,,,,,,,,,,,,,,,,,,,,,
J. McCarthy,180,,,,,,,,,,,,,,,,,,,,,,,
M. Wakaso,171,,,,,,,,,,,,,,,,,,,,,,,
V. Babacan,192,,,,,,,,,,,,,,,,,,,,,,,
C. Álvarez,186,,,,,,,,,,,,,,,,,,,,,,,
D. Brosinski,178,,,,,,,,,,,,,,,,,,,,,,,
F. Caputo,181,,,,,,,,,,,,,,,,,,,,,,,
Y. Bolasie,188,,,,,,,,,,,,,,,,,,,,,,,
Jonathas,190,,,,,,,,,,,,,,,,,,,,,,,
J. Durmaz,180,,,,,,,,,,,,,,,,,,,,,,,
João Aurélio,182,,,,,,,,,,,,,,,,,,,,,,,
B. Oczipka,185,,,,,,,,,,,,,,,,,,,,,,,
J. Stanislas,183,,,,,,,,,,,,,,,,,,,,,,,
D. Santon,187,,,,,,,,,,,,,,,,,,,,,,,
A. Prijović,191,,,,,,,,,,,,,,,,,,,,,,,
Éder,190,,,,,,,,,,,,,,,,,,,,,,,
Quique,175,,,,,,,,,,,,,,,,,,,,,,,
W. Bony,182,,,,,,,,,,,,,,,,,,,,,,,
Y. Salibur,177,,,,,,,,,,,,,,,,,,,,,,,
D. Le Tallec,187,,,,,,,,,,,,,,,,,,,,,,,
M. Gulde,184,,,,,,,,,,,,,,,,,,,,,,,
T. Arslan,180,,,,,,,,,,,,,,,,,,,,,,,
O. Alonso,180,,,,,,,,,,,,,,,,,,,,,,,
L. Sepe,185,,,,,,,,,,,,,,,,,,,,,,,
Dídac Vilà,185,,,,,,,,,,,,,,,,,,,,,,,
L. Júnior,180,,,,,,,,,,,,,,,,,,,,,,,
M. Yoshida,189,,,,,,,,,,,,,,,,,,,,,,,
L. Rodríguez,177,,,,,,,,,,,,,,,,,,,,,,,
P. Lasne,186,,,,,,,,,,,,,,,,,,,,,,,
J. Aquino,168,,,,,,,,,,,,,,,,,,,,,,,
E. Badu,173,,,,,,,,,,,,,,,,,,,,,,,
A. Ioniță,184,,,,,,,,,,,,,,,,,,,,,,,
H. Badstuber,190,,,,,,,,,,,,,,,,,,,,,,,
G. Charbonnier,188,,,,,,,,,,,,,,,,,,,,,,,
E. Giaccherini,167,,,,,,,,,,,,,,,,,,,,,,,
M. Gonalons,187,,,,,,,,,,,,,,,,,,,,,,,
M. Braithwaite,177,,,,,,,,,,,,,,,,,,,,,,,
P. Bargfrede,174,,,,,,,,,,,,,,,,,,,,,,,
M. Destro,182,,,,,,,,,,,,,,,,,,,,,,,
H. Behrens,188,,,,,,,,,,,,,,,,,,,,,,,
X. Chavalerin,179,,,,,,,,,,,,,,,,,,,,,,,
Fábio Espinho,174,,,,,,,,,,,,,,,,,,,,,,,
A. Potuk,177,,,,,,,,,,,,,,,,,,,,,,,
Leonardo,173,,,,,,,,,,,,,,,,,,,,,,,
R. Gikiewicz,190,,,,,,,,,,,,,,,,,,,,,,,
Y. Nagatomo,170,,,,,,,,,,,,,,,,,,,,,,,
Borja García,175,,,,,,,,,,,,,,,,,,,,,,,
C. Dawson,188,,,,,,,,,,,,,,,,,,,,,,,
Tiago Pinto,177,,,,,,,,,,,,,,,,,,,,,,,
M. Ninković,180,,,,,,,,,,,,,,,,,,,,,,,
Javi López,180,,,,,,,,,,,,,,,,,,,,,,,
C. Austin,188,,,,,,,,,,,,,,,,,,,,,,,
J. Fuenzalida,170,,,,,,,,,,,,,,,,,,,,,,,
J. Ayew,182,,,,,,,,,,,,,,,,,,,,,,,
Ximo Navarro,176,,,,,,,,,,,,,,,,,,,,,,,
Caio,178,,,,,,,,,,,,,,,,,,,,,,,
F. Jara,180,,,,,,,,,,,,,,,,,,,,,,,
M. Waris,172,,,,,,,,,,,,,,,,,,,,,,,
O. Murillo,184,,,,,,,,,,,,,,,,,,,,,,,
D. Drexler,182,,,,,,,,,,,,,,,,,,,,,,,
N. Mendy,167,,,,,,,,,,,,,,,,,,,,,,,
D. D'Ambrosio,180,,,,,,,,,,,,,,,,,,,,,,,
M. Lowton,181,,,,,,,,,,,,,,,,,,,,,,,
D. Royer,177,,,,,,,,,,,,,,,,,,,,,,,
E. Çolak,169,,,,,,,,,,,,,,,,,,,,,,,
N. Blandi,181,,,,,,,,,,,,,,,,,,,,,,,
Guilherme,174,,,,,,,,,,,,,,,,,,,,,,,
L. Rupp,178,,,,,,,,,,,,,,,,,,,,,,,
J. Hendrick,183,,,,,,,,,,,,,,,,,,,,,,,
N. Chadli,187,,,,,,,,,,,,,,,,,,,,,,,
Y. Konoplyanka,178,,,,,,,,,,,,,,,,,,,,,,,
L. Teodorczyk,188,,,,,,,,,,,,,,,,,,,,,,,
F. Santander,187,,,,,,,,,,,,,,,,,,,,,,,
V. Eysseric,181,,,,,,,,,,,,,,,,,,,,,,,
Recio,183,,,,,,,,,,,,,,,,,,,,,,,
J. Schmid,179,,,,,,,,,,,,,,,,,,,,,,,
J. Kurtić,186,,,,,,,,,,,,,,,,,,,,,,,
D. Nagbe,175,,,,,,,,,,,,,,,,,,,,,,,
T. Chandler,186,,,,,,,,,,,,,,,,,,,,,,,
A. Diaby,172,,,,,,,,,,,,,,,,,,,,,,,
Fabrício,183,,,,,,,,,,,,,,,,,,,,,,,
F. Castillo,174,,,,,,,,,,,,,,,,,,,,,,,
D. Chará,172,,,,,,,,,,,,,,,,,,,,,,,
V. Germain,180,,,,,,,,,,,,,,,,,,,,,,,
A. Donnarumma,181,,,,,,,,,,,,,,,,,,,,,,,
F. Gutiérrez,170,,,,,,,,,,,,,,,,,,,,,,,
Eric Botteghin,192,,,,,,,,,,,,,,,,,,,,,,,
A. Katai,182,,,,,,,,,,,,,,,,,,,,,,,
H. Soudani,177,,,,,,,,,,,,,,,,,,,,,,,
F. Novák,184,,,,,,,,,,,,,,,,,,,,,,,
Luís Hernández,183,,,,,,,,,,,,,,,,,,,,,,,
L. Aued,182,,,,,,,,,,,,,,,,,,,,,,,
Lucas Lima,179,,,,,,,,,,,,,,,,,,,,,,,
L. Fernández,178,,,,,,,,,,,,,,,,,,,,,,,
Óscar Plano,182,,,,,,,,,,,,,,,,,,,,,,,
J. Vázquez,166,,,,,,,,,,,,,,,,,,,,,,,
J. Fernandes,183,,,,,,,,,,,,,,,,,,,,,,,
D. Machís,174,,,,,,,,,,,,,,,,,,,,,,,
L. Zuffi,180,,,,,,,,,,,,,,,,,,,,,,,
M. Schnatterer,180,,,,,,,,,,,,,,,,,,,,,,,
R. Berić,188,,,,,,,,,,,,,,,,,,,,,,,
A. Solari,176,,,,,,,,,,,,,,,,,,,,,,,
A. Hurtado,172,,,,,,,,,,,,,,,,,,,,,,,
L. Vangioni,178,,,,,,,,,,,,,,,,,,,,,,,
S. Palacios,170,,,,,,,,,,,,,,,,,,,,,,,
Hernâni,178,,,,,,,,,,,,,,,,,,,,,,,
D. Torres,183,,,,,,,,,,,,,,,,,,,,,,,
L. Quiñones,178,,,,,,,,,,,,,,,,,,,,,,,
Postigo,185,,,,,,,,,,,,,,,,,,,,,,,
E. Mas,180,,,,,,,,,,,,,,,,,,,,,,,
B. Bianchi,183,,,,,,,,,,,,,,,,,,,,,,,
J. Furch,187,,,,,,,,,,,,,,,,,,,,,,,
J. Buffarini,170,,,,,,,,,,,,,,,,,,,,,,,
G. Carrillo,191,,,,,,,,,,,,,,,,,,,,,,,
Y. Gazinskiy,184,,,,,,,,,,,,,,,,,,,,,,,
Y. Lodygin,187,,,,,,,,,,,,,,,,,,,,,,,
A. Ademi,185,,,,,,,,,,,,,,,,,,,,,,,
Zainadine,178,,,,,,,,,,,,,,,,,,,,,,,
K. Billiat,170,,,,,,,,,,,,,,,,,,,,,,,
O. Şahiner,175,,,,,,,,,,,,,,,,,,,,,,,
Granell,175,,,,,,,,,,,,,,,,,,,,,,,
André Simões,177,,,,,,,,,,,,,,,,,,,,,,,
G. Giménez,188,,,,,,,,,,,,,,,,,,,,,,,
Simão Donatinho,188,,,,,,,,,,,,,,,,,,,,,,,
Silas Almeim,177,,,,,,,,,,,,,,,,,,,,,,,
Caio Nunson,185,,,,,,,,,,,,,,,,,,,,,,,
Otávio Cairinho,179,,,,,,,,,,,,,,,,,,,,,,,
Jorginhson,178,,,,,,,,,,,,,,,,,,,,,,,
Dani Rochelinhas,178,,,,,,,,,,,,,,,,,,,,,,,
Kaíquão Castro,190,,,,,,,,,,,,,,,,,,,,,,,
Lafortiscinho,178,,,,,,,,,,,,,,,,,,,,,,,
Kaimo Lima,188,,,,,,,,,,,,,,,,,,,,,,,
Fabrio Farinha,177,,,,,,,,,,,,,,,,,,,,,,,
Gabrisco Aníbal,182,,,,,,,,,,,,,,,,,,,,,,,
Allan Bardinho,175,,,,,,,,,,,,,,,,,,,,,,,
José Mirazar,180,,,,,,,,,,,,,,,,,,,,,,,
Ailton Guevara,177,,,,,,,,,,,,,,,,,,,,,,,
Adilson Edrada,176,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Aldair,187,,,,,,,,,,,,,,,,,,,,,,,
F. Niță,184,,,,,,,,,,,,,,,,,,,,,,,
L. Tawamba,189,,,,,,,,,,,,,,,,,,,,,,,
P. Dárenas,190,,,,,,,,,,,,,,,,,,,,,,,
P. Vaquizo,180,,,,,,,,,,,,,,,,,,,,,,,
D. Szoboszlai,186,,,,,,,,,,,,,,,,,,,,,,,
N. Zaniolo,190,,,,,,,,,,,,,,,,,,,,,,,
C. Hudson-Odoi,177,,,,,,,,,,,,,,,,,,,,,,,
J. David,177,,,,,,,,,,,,,,,,,,,,,,,
G. Chakvetadze,178,,,,,,,,,,,,,,,,,,,,,,,
I. Hagi,180,,,,,,,,,,,,,,,,,,,,,,,
Aleix García,173,,,,,,,,,,,,,,,,,,,,,,,
N. Benedetti,177,,,,,,,,,,,,,,,,,,,,,,,
D. Sow,184,,,,,,,,,,,,,,,,,,,,,,,
V. Osimhen,185,,,,,,,,,,,,,,,,,,,,,,,
H. Wolf,179,,,,,,,,,,,,,,,,,,,,,,,
J. Foyth,187,,,,,,,,,,,,,,,,,,,,,,,
M. Demiral,192,,,,,,,,,,,,,,,,,,,,,,,
O. Kabak,186,,,,,,,,,,,,,,,,,,,,,,,
Matheus Cunha,184,,,,,,,,,,,,,,,,,,,,,,,
Z. Vanheusden,186,,,,,,,,,,,,,,,,,,,,,,,
M. Diaby,170,,,,,,,,,,,,,,,,,,,,,,,
D. McNeil,183,,,,,,,,,,,,,,,,,,,,,,,
I. Bennacer,173,,,,,,,,,,,,,,,,,,,,,,,
J. Reine-Adélaïde,184,,,,,,,,,,,,,,,,,,,,,,,
R. Doan,172,,,,,,,,,,,,,,,,,,,,,,,
O. Edouard,187,,,,,,,,,,,,,,,,,,,,,,,
L. Robertone,173,,,,,,,,,,,,,,,,,,,,,,,
E. Barco,165,,,,,,,,,,,,,,,,,,,,,,,
Douglas Luiz,178,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Becão,191,,,,,,,,,,,,,,,,,,,,,,,
Adrià Pedrosa,176,,,,,,,,,,,,,,,,,,,,,,,
A. Král,186,,,,,,,,,,,,,,,,,,,,,,,
E. Cecchini,180,,,,,,,,,,,,,,,,,,,,,,,
J. Barrera,171,,,,,,,,,,,,,,,,,,,,,,,
P. Diop,180,,,,,,,,,,,,,,,,,,,,,,,
H. Choudhury,178,,,,,,,,,,,,,,,,,,,,,,,
João Carvalho,170,,,,,,,,,,,,,,,,,,,,,,,
A. Ömür,168,,,,,,,,,,,,,,,,,,,,,,,
A. Isak,190,,,,,,,,,,,,,,,,,,,,,,,
O. Mangala,178,,,,,,,,,,,,,,,,,,,,,,,
E. Reynoso,176,,,,,,,,,,,,,,,,,,,,,,,
R. Alvarado,176,,,,,,,,,,,,,,,,,,,,,,,
M. Djenepo,177,,,,,,,,,,,,,,,,,,,,,,,
L. Mothiba,182,,,,,,,,,,,,,,,,,,,,,,,
Bruno Xadas,179,,,,,,,,,,,,,,,,,,,,,,,
M. Olivera,184,,,,,,,,,,,,,,,,,,,,,,,
V. Shepelev,184,,,,,,,,,,,,,,,,,,,,,,,
M. Loum,188,,,,,,,,,,,,,,,,,,,,,,,
Iago,181,,,,,,,,,,,,,,,,,,,,,,,
Róber,182,,,,,,,,,,,,,,,,,,,,,,,
Adama Traoré,178,,,,,,,,,,,,,,,,,,,,,,,
P. Billing,197,,,,,,,,,,,,,,,,,,,,,,,
Pablo Maffeo,172,,,,,,,,,,,,,,,,,,,,,,,
P. Roberts,170,,,,,,,,,,,,,,,,,,,,,,,
A. Ajeti,183,,,,,,,,,,,,,,,,,,,,,,,
K. Ajer,196,,,,,,,,,,,,,,,,,,,,,,,
O. Pineda,169,,,,,,,,,,,,,,,,,,,,,,,
A. Rossi,193,,,,,,,,,,,,,,,,,,,,,,,
V. Kovalenko,182,,,,,,,,,,,,,,,,,,,,,,,
Lato,171,,,,,,,,,,,,,,,,,,,,,,,
C. Söyüncü,185,,,,,,,,,,,,,,,,,,,,,,,
Joaquín,190,,,,,,,,,,,,,,,,,,,,,,,
J. Bijlow,188,,,,,,,,,,,,,,,,,,,,,,,
S. Villa,179,,,,,,,,,,,,,,,,,,,,,,,
Aleix Febas,171,,,,,,,,,,,,,,,,,,,,,,,
S. Lammers,189,,,,,,,,,,,,,,,,,,,,,,,
S. Cáseres,177,,,,,,,,,,,,,,,,,,,,,,,
M. Pongračić,190,,,,,,,,,,,,,,,,,,,,,,,
Francis,175,,,,,,,,,,,,,,,,,,,,,,,
C. Musonda,173,,,,,,,,,,,,,,,,,,,,,,,
Lucas Torró,190,,,,,,,,,,,,,,,,,,,,,,,
L. Giannetti,184,,,,,,,,,,,,,,,,,,,,,,,
Marlon,182,,,,,,,,,,,,,,,,,,,,,,,
Pozo,170,,,,,,,,,,,,,,,,,,,,,,,
O. McBurnie,191,,,,,,,,,,,,,,,,,,,,,,,
A. Cubas,169,,,,,,,,,,,,,,,,,,,,,,,
C. Adams,178,,,,,,,,,,,,,,,,,,,,,,,
E. Buendía,170,,,,,,,,,,,,,,,,,,,,,,,
P. Cissé,197,,,,,,,,,,,,,,,,,,,,,,,
T. Cardona,186,,,,,,,,,,,,,,,,,,,,,,,
M. Degenek,187,,,,,,,,,,,,,,,,,,,,,,,
L. Rodríguez,168,,,,,,,,,,,,,,,,,,,,,,,
C. Bassogog,173,,,,,,,,,,,,,,,,,,,,,,,
Ontiveros,172,,,,,,,,,,,,,,,,,,,,,,,
C. Awaziem,189,,,,,,,,,,,,,,,,,,,,,,,
Pedro Rebocho,170,,,,,,,,,,,,,,,,,,,,,,,
S. Lukić,183,,,,,,,,,,,,,,,,,,,,,,,
E. Löwen,188,,,,,,,,,,,,,,,,,,,,,,,
J. Stephens,185,,,,,,,,,,,,,,,,,,,,,,,
B. Petković,193,,,,,,,,,,,,,,,,,,,,,,,
A. Browne,173,,,,,,,,,,,,,,,,,,,,,,,
V. Cantillo,180,,,,,,,,,,,,,,,,,,,,,,,
S. Benrahma,172,,,,,,,,,,,,,,,,,,,,,,,
O. Watkins,180,,,,,,,,,,,,,,,,,,,,,,,
Unai López,170,,,,,,,,,,,,,,,,,,,,,,,
Walace,188,,,,,,,,,,,,,,,,,,,,,,,
